business_id,stars,garage,lot,street,valet,validated,BusinessAcceptsCreditCards,OutdoorSeating,RestaurantsPriceRange2,HasTV,casual,classy,divey,hipster,intimate,romantic,touristy,trendy,upscale,Alcohol,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTakeOut,BikeParking,WiFi,RestaurantsDelivery,NoiseLevel,name,city,state,is_open
k0hlBqXX-Bt0vf1op7Jr1w,3.0,False,True,False,False,False,True,True,1,True,False,False,False,False,False,False,False,False,False,u'full_bar',True,False,True,,u'free',False,u'average',Tsevi's Pub And Grill,Affton,MO,0
MUTTqe8uqyMdBl186RmNeA,4.0,,False,True,False,,True,True,2,False,False,True,False,False,False,False,False,False,False,'full_bar',True,True,True,,'free',True,u'average',Tuna Bar,Philadelphia,PA,1
WKMJwqnfZKsAae75RMP6jA,4.0,False,True,True,False,False,,False,2,False,False,False,,True,False,False,False,True,False,u'beer_and_wine',True,False,True,,u'free',False,u'average',Roast Coffeehouse and Wine Bar,Edmonton,AB,0
QdN72BWoyFypdGJhhI5r7g,4.0,,False,True,False,,True,False,2,True,True,,False,True,False,,False,,False,u'full_bar',True,False,True,True,u'free',True,u'average',Bar One,Philadelphia,PA,0
lk9IwjZXqUMqqOhM774DtQ,3.5,True,False,False,False,False,True,True,2,False,True,True,False,False,False,False,False,True,False,u'beer_and_wine',True,False,True,True,'free',True,u'average',Caviar & Bananas,Nashville,TN,0
txyXRytGjwOXvS8s4sc-WA,3.0,False,True,,False,False,True,,2,,,,,,,,,,,,,,True,True,u'free',True,,Smoothie King,Tucson,AZ,1
seKihQKpGGnCeLuELRQPSQ,3.5,False,True,False,False,False,True,True,2,True,True,False,False,,False,False,,,False,'full_bar',True,False,True,False,'free',False,'average',Twin Peaks,Indianapolis,IN,1
L_TT0BFmFwORAMaA83K54A,2.5,,,,,,False,False,2,False,True,False,False,False,False,False,False,False,False,u'none',True,False,False,False,u'no',False,u'average',Village Tap Room,Indianapolis,IN,0
qfWJmJ0g96eM_fWma3ja0g,3.0,False,False,True,False,False,True,True,2,True,True,False,False,False,False,False,False,False,False,u'full_bar',True,True,True,True,u'no',False,u'average',Doc Magrogan's Oyster House - West Chester,West Chester,PA,0
8rb-3VYXE37IZix4yOdskw,2.5,False,True,False,False,False,True,False,1,True,False,False,True,False,False,False,False,False,False,u'full_bar',True,False,True,True,'free',False,u'average',Sharky's Sports Bar & Grill,Williamstown,NJ,1
aCDY7vXYMs54EbYuQScsnQ,4.5,False,True,True,False,False,True,None,,True,False,False,False,False,False,False,False,False,False,u'full_bar',,False,True,True,u'free',True,,39 North Taproom & Grill,Glenolden,PA,1
pJfh3Ct8iL58NZa8ta-a5w,4.5,,,,,,True,False,2,True,True,False,False,,False,False,False,,,u'full_bar',True,True,True,True,u'free',True,u'average',Top Shelf Sports Lounge,Wesley Chapel,FL,1
NZ_bFJma7brQUfln5h1UAg,3.5,False,True,False,False,False,True,False,2,False,False,False,False,False,False,False,False,False,False,,True,True,True,,,False,u'quiet',Super Sushi Kyo Hin,Burlington,NJ,0
YNjyv0gfOr2g8lbmUpTnKg,4.5,True,False,True,False,False,True,True,2,True,False,True,False,False,False,False,False,False,False,u'full_bar',True,True,True,,u'free',True,u'average',Copper Vine,New Orleans,LA,1
LhpPSrulqVeTyJeK2xydvQ,4.5,False,False,True,False,False,,,,True,False,False,False,False,False,False,False,False,False,,,,,,,,,Fresh Fruits & Salads,Camden,NJ,1
VrGxoSNZfSiT-G4OqRRGIw,4.0,False,True,True,False,False,True,True,2,True,False,True,False,False,False,False,False,False,False,'full_bar',True,True,True,True,u'free',True,u'quiet',Sunset 44 Bistro,Saint Louis,MO,1
sB45WFgysT617bKWP_WJwA,4.5,False,True,True,False,False,True,,1,,,,,,,,,,,,,,False,True,,,,Budweiser Brewery Experience,Saint Louis,MO,1
Fk1xpM7fjqEJ4paqk5ZFSg,3.0,,,,,,True,,1,,,,,,,,,,,,,,True,True,u'free',,,Jamba Juice,Boise,ID,0
Cdytv_YhJO0W0Ab8t2xLtg,3.5,,True,,False,,True,True,1,True,,False,,,,False,,False,False,u'full_bar',True,False,True,False,u'no',False,u'average',Nipper's Pub,Woodbury,NJ,1
