business_id,stars,garage,lot,street,valet,validated,BusinessAcceptsCreditCards,OutdoorSeating,RestaurantsPriceRange2,HasTV,casual,classy,divey,hipster,intimate,romantic,touristy,trendy,upscale,Alcohol,RestaurantsGoodForGroups,RestaurantsReservations,RestaurantsTakeOut,BikeParking,WiFi,RestaurantsDelivery,NoiseLevel,name,city,state,is_open
k0hlBqXX-Bt0vf1op7Jr1w,3.0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,1,Tsevi's Pub And Grill,Affton,MO,0
MUTTqe8uqyMdBl186RmNeA,4.0,0,0,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,2,1,1,Tuna Bar,Philadelphia,PA,1
QdN72BWoyFypdGJhhI5r7g,4.0,0,0,1,0,0,1,0,2,1,1,0,0,1,0,0,0,0,0,2,1,0,1,1,2,1,1,Bar One,Philadelphia,PA,0
lk9IwjZXqUMqqOhM774DtQ,3.5,1,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,2,1,1,Caviar & Bananas,Nashville,TN,0
txyXRytGjwOXvS8s4sc-WA,3.0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,Smoothie King,Tucson,AZ,1
seKihQKpGGnCeLuELRQPSQ,3.5,0,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,1,Twin Peaks,Indianapolis,IN,1
L_TT0BFmFwORAMaA83K54A,2.5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Village Tap Room,Indianapolis,IN,0
qfWJmJ0g96eM_fWma3ja0g,3.0,0,0,1,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,1,Doc Magrogan's Oyster House - West Chester,West Chester,PA,0
8rb-3VYXE37IZix4yOdskw,2.5,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,1,1,2,0,1,Sharky's Sports Bar & Grill,Williamstown,NJ,1
aCDY7vXYMs54EbYuQScsnQ,4.5,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,1,0,39 North Taproom & Grill,Glenolden,PA,1
pJfh3Ct8iL58NZa8ta-a5w,4.5,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,1,Top Shelf Sports Lounge,Wesley Chapel,FL,1
NZ_bFJma7brQUfln5h1UAg,3.5,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,Super Sushi Kyo Hin,Burlington,NJ,0
YNjyv0gfOr2g8lbmUpTnKg,4.5,1,0,1,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,2,1,1,1,0,2,1,1,Copper Vine,New Orleans,LA,1
LhpPSrulqVeTyJeK2xydvQ,4.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fresh Fruits & Salads,Camden,NJ,1
VrGxoSNZfSiT-G4OqRRGIw,4.0,0,1,1,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,2,1,1,1,1,2,1,1,Sunset 44 Bistro,Saint Louis,MO,1
sB45WFgysT617bKWP_WJwA,4.5,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Budweiser Brewery Experience,Saint Louis,MO,1
Fk1xpM7fjqEJ4paqk5ZFSg,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,Jamba Juice,Boise,ID,0
