business_id,state,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
MUTTqe8uqyMdBl186RmNeA,PA,False,True,True,True,True,True,True
QdN72BWoyFypdGJhhI5r7g,PA,True,True,True,True,True,True,True
lk9IwjZXqUMqqOhM774DtQ,TN,True,True,True,True,True,True,True
txyXRytGjwOXvS8s4sc-WA,AZ,False,True,True,True,True,True,True
seKihQKpGGnCeLuELRQPSQ,IN,False,True,True,True,True,True,True
aCDY7vXYMs54EbYuQScsnQ,PA,False,True,True,True,True,True,True
pJfh3Ct8iL58NZa8ta-a5w,FL,True,True,True,True,True,True,True
YNjyv0gfOr2g8lbmUpTnKg,LA,False,True,True,True,True,True,True
LhpPSrulqVeTyJeK2xydvQ,NJ,True,True,True,True,True,True,False
VrGxoSNZfSiT-G4OqRRGIw,MO,True,True,True,True,True,True,True
sB45WFgysT617bKWP_WJwA,MO,False,True,True,True,True,True,True
Fk1xpM7fjqEJ4paqk5ZFSg,ID,False,True,True,True,True,True,True
FRYkg_JvsWU9xIXZsEZcVA,LA,True,False,True,True,True,True,True
9C2rpb56aQvW0ViZHK9sPw,AZ,True,True,True,True,True,True,True
SZU9c8V2GuREDN5KgyHFJw,CA,False,True,True,True,True,True,True
WYYdQDjx-DsCanlP0DpImQ,PA,False,True,True,True,True,True,True
X_E7U2lVNEwbH_gpOBmAHQ,TN,False,False,True,True,True,True,True
7Du9oW73YcYFmXdtU5aiSg,FL,True,True,True,True,True,True,True
3S9GYtMOYhbZl4MMPOHT0Q,ID,False,True,True,True,True,True,True
ZU6NodDOWaabGkeNpOWdXw,FL,False,True,True,True,True,True,False
Dtuf4vD0znzwJW9vk3iTNw,IN,False,True,True,True,True,True,True
Ucl9Vo5lwrUmYbV8Dv8X5g,FL,True,True,True,True,True,True,True
6BF3eaIzHtoNHSxKTFnTyg,IN,True,True,True,True,True,True,True
4IcB3QyMEA85UTWFKh9O9A,LA,False,True,False,False,False,False,False
Y6heWJJ9AmEL58fZwgi9YQ,AZ,False,True,True,True,True,True,True
6czqMScx8MRDirv7fxX7pw,NV,True,True,True,True,True,True,True
uDQgmudYDKiB6n4vwbEeDg,TN,False,True,True,True,True,True,False
v5kwdvmg-J8g-ll0nkc3Sw,IN,False,True,True,True,True,True,False
Edg22x3CZkIv0GUib2oEFA,LA,False,True,True,True,True,True,True
VVvUBlc_WIEb8obKGq39dA,FL,True,True,True,True,True,True,True
dJfkfBbJz7wi0RgW-ph_Eg,FL,True,True,True,True,True,True,True
VbItL6RDULtnw4YvB6EhVg,PA,True,True,True,True,True,True,True
JF7iyI3wA_AKi_iXOKi0Qw,PA,True,True,True,True,True,True,True
rZw9O5lJ36m_mXeRKE4G9A,PA,False,True,True,True,True,True,True
-7GDqSUaXrpC8Ql7nDBxWA,PA,True,True,True,True,True,True,True
1E9o1SNo7UTf1XHTFPv1_Q,TN,True,True,True,True,True,True,True
0CEUpFtaKhxbmrbSdP9MUQ,PA,False,True,True,True,True,True,True
f82dhKNiUXsDVPMLqKYiIQ,AZ,False,True,True,True,True,True,True
xJyp6RLqNRv3tSu6njPKxQ,PA,False,True,True,True,True,True,True
PCM-vL-vRLJ4HB2OE8Nnbg,PA,True,True,True,True,True,True,True
vFJIK-z3QWs-3XNjs1hcZQ,LA,False,True,True,True,True,True,False
j9Kaj_6tSeXmVMYCgZithg,FL,True,True,True,True,True,True,True
4xhGQGdGqU60BIznBjqnuA,CA,False,True,True,True,True,True,True
Wt1W6qwCvna1KzIuJRJbwA,NJ,True,True,True,True,True,True,True
eJ77e9lGxY3ArzaoDbHhYw,PA,True,True,True,True,True,True,True
7mpYTDb24SywNMRn3yeakQ,PA,False,True,True,True,True,True,True
_WRe3ql2DI_h3htr77Siew,NV,False,True,True,True,True,True,True
YZuoaOzD49ffP10PNf72nA,IN,True,True,True,True,True,True,True
rR30b1XWbxZFFgLyGbfNAw,IN,False,False,True,True,True,True,True
46_2e1hnQ4csLrYnhn6bkw,PA,True,True,True,True,True,True,True
dIpTuL2T1L98GQGU17IeSw,FL,False,False,True,True,True,True,True
pNu5bd9aL3jcJClfdQ86MQ,MO,True,True,True,True,True,True,True
1EokZOnCDkjv2VtPtplyHw,FL,False,False,True,True,True,True,True
SFKjUQ1gmfwm7cJhMCFmkA,FL,True,False,False,True,True,True,True
ejEVU5o5F56e7XIO07xpcA,MO,True,True,True,True,True,True,True
diwwt5QBU3-Thig9SVlsOA,NV,True,True,True,True,True,True,True
MObScX791gFEwtkoFA9GQg,NJ,False,False,True,True,True,True,False
TJe1ZGe-X0-GjOQd00kKxA,ID,False,True,True,True,True,True,True
SBgr-5n-kV3EeZztYsstUQ,PA,False,False,True,True,True,True,True
qma1sGQv7ArUtzuUTQElRg,MO,True,True,True,True,True,True,True
zjQDk4tZyhEroyqtkgvx0g,IL,True,True,True,True,True,True,True
EEc3X2r94uNhCz_jOTSzHg,AZ,True,True,True,True,True,True,True
kfGz2E7Y5FLXJyiKbQYfZg,PA,True,True,True,True,True,True,True
H3JjbID9Zhukpqr9uupHAA,TN,True,True,True,True,True,True,True
jsQQu9rVerR3OGxIa0hRQQ,PA,False,True,True,True,True,True,True
UX3eq0WsVva-cqlVrzyzFg,NV,True,True,True,True,True,True,True
1o_M5JdOkJJFNj1rIDIlng,PA,True,True,True,True,True,True,True
q9dLguaNI58Rs5GJuJAWIg,NV,False,True,True,True,True,True,False
PdMXmOWDRHICAx6SLgu1dQ,PA,True,True,True,True,True,True,True
71U7MxQEhwitJOm4CQpRwQ,FL,False,True,True,True,True,True,True
sWCCxY1-9B1FGlSVeQvnHg,FL,False,True,True,True,True,True,True
Gki1ureeRKqlIkQ-AELDVg,TN,True,True,True,True,True,True,True
4FaYG9qKDpDyr68bKmaIEw,ID,False,True,True,True,True,True,False
yUcMPv-B9gCUUNT-GUiJbw,LA,True,True,True,True,True,True,True
MYoRNLb5chwjQe3c_k37Gg,PA,True,True,True,True,True,True,True
pP4q0Mym-qt20nRqTKbzhQ,PA,True,True,True,True,True,True,True
c6xOzTbNqD-1g9PoxAh4DQ,TN,False,True,True,True,True,True,False
Iuir7lUtx-LMhYtStwyf3Q,IN,True,True,True,True,True,True,True
I2CxrvM0BGH1svfxqGGD2g,TN,True,True,True,True,True,True,True
-ujBP1Dw0j1-Ffaz97-LXQ,CA,False,True,True,True,True,True,True
QpPc51mH86xyrRmnFijpTQ,TN,True,True,True,True,True,True,True
W4ZEKkva9HpAdZG88juwyQ,LA,False,False,True,True,True,True,True
3swM60bulnut1d4AZti80Q,AZ,True,True,True,True,True,True,True
4fUok5d5vgdQEb1Bzzg0rA,LA,False,True,True,True,True,True,True
bdth7r1brx9yRU7sYwF9jQ,MO,False,True,True,True,True,True,True
nX7aULcuP15c6ntE1ml7Wg,TN,True,True,True,True,True,True,True
SSZDGl2J-CEyIzuIbEiYNQ,MO,True,True,True,True,True,True,True
_Oksx3ALgKLRVxeAR8l_qA,DE,False,True,True,True,True,True,False
LKGlZW0mmuoXvKB04FSP-A,NJ,True,True,True,True,True,True,True
dUctvEfHQccW_uxtRup2QQ,FL,True,True,True,True,True,True,True
ByTZJsTDDhvOYKCj7uoy4w,TN,True,True,True,True,True,True,False
qWZimITbVwNSGJZsuM47-Q,LA,True,True,False,True,True,True,True
o05ngJ6BY1rztemFazViBw,LA,True,True,True,True,True,True,True
U48gI6zzlDkvUDS9bsdvUg,FL,True,True,True,True,True,True,True
BxR5hjyBnJZrm_nnaCtGQw,PA,False,True,True,True,True,True,True
NQSnr4RPUScss607oxOaqw,PA,False,True,True,True,True,True,True
Ea2hPSFazxXITET4f6ZJhw,FL,False,True,True,True,True,True,True
C3roKH0ekXBz8l0ZoUIvAA,AZ,True,True,True,True,True,True,True
_HcAoG6Jj_XTj4-XNEbo6Q,FL,False,True,True,True,True,True,True
I4TFiNX5gTsJBnEGH2Tl8Q,PA,True,True,True,True,True,True,True
lj-E32x9_FA7GmUrBGBEWg,MO,False,True,True,True,True,True,True
5wgoIQXyP3BEPZLiVi1W8A,LA,True,True,True,True,True,True,True
G9JqaURDTC_pSzji0bytwA,LA,True,True,True,True,True,True,True
xPSetcLWfl_3JoENfGf89w,MO,False,True,True,True,True,True,True
fT4jl8pcXCxKBrM85XjXSg,FL,True,True,True,True,True,True,False
uE3yzH2l1A_FYciu95EptA,TN,True,True,True,True,True,True,True
AaWmckcT3O1iQSAIUmzwUA,FL,False,True,True,True,True,True,True
Up2hJViJJf61k9V3jFbvzg,MO,False,True,True,True,True,True,True
ryHhnOItSVPJB81Ty0Xb2g,FL,True,True,True,True,True,True,True
SdZvOwgALlSBt8A0DvVkuQ,NV,True,True,True,True,True,True,True
xb-qtXVZ7xFr51Se5fAZjg,PA,True,True,True,True,True,True,True
sway6xsRT_CUC6peK_Pyww,TN,False,False,True,True,False,True,False
IazLGcO9aggJnMMa_5UO1Q,PA,False,True,True,True,True,True,True
uxoQdZD3mEptaPohiLQg1w,PA,False,True,True,True,True,True,True
E9-k8aOCS2sSh9RYxvWU_A,PA,True,True,True,True,True,True,True
Xjal8g4PsYinAfeQ8RWf4Q,PA,False,True,True,True,True,True,True
UVpki6wyHLR0mujHcneTfg,LA,True,True,True,True,True,True,True
v8IbZ6wcvdyGqWpbDKDvfA,FL,True,True,True,True,True,True,True
U30ggGzFpXvc2NZYwOW3qg,PA,True,True,True,True,True,True,True
bCIZeggW02uPdz2lobSjUA,AZ,True,True,True,True,True,True,True
0t14RIHl4wODz7LRiRRQ0Q,FL,False,True,True,True,True,True,True
YGxpTJ3fcU96uSoL2kHRAA,IN,True,True,True,True,True,True,True
UADDyUMFvV-KjFBNav7tIw,FL,True,True,True,True,True,True,True
68ThEdiK0eWCEgGEmV9Tng,PA,False,True,True,True,True,True,True
i9eMSNpOA8BfHGZrM-9sZg,NJ,True,True,True,True,True,True,True
h2nBTqJVHAyltyeq7sZZ-w,NJ,True,True,True,True,True,True,True
nFjk0xVI9fNiVN__5g-m8Q,FL,False,True,False,True,True,True,True
Hn5wSB6hKqKs-_fzAIocJA,MO,False,True,True,True,True,True,True
w8C_pRQvdIXQ5VRWlW2M3w,NV,False,True,True,True,True,True,True
_cndcbuaqSRW5f-MeZasNw,TN,True,True,True,True,True,True,True
tXf6TpqHOLiwyMNbYAOOCQ,FL,False,True,True,True,True,True,False
WQ832PDnsDshhbQFm83ISg,FL,True,True,True,True,True,True,True
TTsBa6e2qgIEkiFQfYLmYA,FL,False,True,True,True,True,True,True
zzHtFjfM7NvuVM1HTsCLGA,PA,True,True,True,True,True,True,True
HJe8eEH5qXRjQMAh1VfV_w,FL,True,True,True,True,True,True,True
lhsQkb5nhf-Kd5OvgB9MNg,AZ,True,True,True,True,True,True,True
plobBsTtVUODb353xxFT_g,NV,True,True,True,True,True,True,True
ARgidflSXPHj7uhK-Y7hwA,MO,True,True,True,True,True,True,True
rD5cJ74ZX4UiBo1geRljPw,MO,True,True,True,True,True,True,True
368cyArdo0P0aDUOhhE4PA,IN,True,True,True,True,True,True,True
-sSGKR1V1oBm7BJicIXozg,PA,True,True,True,True,True,True,True
Bw0cpnfI-Y9QmjWzqS-oFg,PA,False,True,True,True,True,True,True
JOvNunKJlWhwJRwLmUR9ZA,FL,True,True,True,True,True,True,True
a0X8BAm9-HhecZBoTElF0A,AZ,True,True,True,True,True,True,True
s3FRhtaNU8dt-mKkLKUQaQ,TN,True,True,True,True,True,True,True
JRoY9Mx2LghIki2Uo1SOJA,IL,False,True,True,True,True,True,False
Ktw3a8hXOKL00UCk_1nSEQ,NV,True,True,True,True,True,True,True
joziEnj1kVdr6uUAE6kXog,MO,True,True,True,True,True,True,True
ZJC0ONdxmIlwidXd8E0fXg,TN,False,True,True,True,True,True,True
bwlSGCjYLNwzXVD9CB_8EA,PA,True,True,True,True,True,True,True
XQfwVwDr-v0ZS3_CbbE5Xw,PA,True,True,True,True,True,True,True
9k0087JPHviddE06BjO-mw,NV,True,True,True,True,True,True,True
1cLhfVUILUQ9u6C9XtwcNg,MO,False,False,True,True,True,True,False
78e90HO_R40SyzBr4fnHSA,IN,True,True,True,True,True,True,True
nIE7ph1w_bttQMJQx5hUEQ,FL,False,True,True,True,True,True,True
cLlBDZxYJ1dt1JgMuZnXew,PA,False,False,True,True,True,True,True
s3GwQKZ7ciS8GjzQmG4GWg,NV,False,False,True,True,True,True,True
WJIc6ZlR-pd9W-Vt-rRtzA,FL,False,True,True,True,True,True,True
1sXN7Oxteo5dP5nwIDyO4w,PA,False,True,True,True,True,True,True
