0,1,2,state
Friday,Tuesday,Wednesday,AK
Friday,Thursday,Tuesday,AL
Friday,Thursday,Tuesday,AR
Friday,Thursday,Tuesday,AZ
Friday,Thursday,Tuesday,CA
Friday,Thursday,Tuesday,CO
Friday,Thursday,Wednesday,CT
Friday,Thursday,Wednesday,DC
Friday,Thursday,Wednesday,DE
Friday,Thursday,Wednesday,FL
Friday,Thursday,Wednesday,GA
Friday,Thursday,Tuesday,HI
Friday,Thursday,Tuesday,IA
Friday,Tuesday,Thursday,ID
Friday,Thursday,Tuesday,IL
Friday,Thursday,Tuesday,IN
Friday,Thursday,Tuesday,KS
Friday,Thursday,Tuesday,KY
Friday,Thursday,Tuesday,LA
Friday,Thursday,Wednesday,MA
Friday,Wednesday,Thursday,MD
Friday,Thursday,Wednesday,ME
Friday,Thursday,Wednesday,MI
Friday,Thursday,Tuesday,MN
Friday,Thursday,Tuesday,MO
Friday,Thursday,Tuesday,MS
Friday,Tuesday,Thursday,MT
Friday,Thursday,Wednesday,NC
Friday,Tuesday,Thursday,ND
Friday,Thursday,Tuesday,NE
Friday,Thursday,Wednesday,NH
Friday,Thursday,Wednesday,NJ
Friday,Thursday,Tuesday,NM
Friday,Thursday,Tuesday,NV
Friday,Thursday,Wednesday,NY
Friday,Thursday,Wednesday,OH
Friday,Thursday,Tuesday,OK
Friday,Tuesday,Thursday,OR
Friday,Thursday,Wednesday,PA
Friday,Thursday,Wednesday,RI
Friday,Thursday,Wednesday,SC
Friday,Thursday,Tuesday,SD
Friday,Thursday,Tuesday,TN
Friday,Thursday,Tuesday,TX
Friday,Tuesday,Thursday,UT
Friday,Thursday,Wednesday,VA
Friday,Thursday,Wednesday,VT
Friday,Tuesday,Wednesday,WA
Friday,Thursday,Tuesday,WI
Friday,Thursday,Tuesday,WV
Friday,Tuesday,Thursday,WY
