"","column_names","column_sums","avg_rat","week"
"0","00:00",5916,3.73699121730097,"Monday"
"0.5","00:30",5490,3.70287660862983,"Monday"
"1","01:00",5308,3.71439554103402,"Monday"
"1.5","01:30",4282,3.70850480109739,"Monday"
"2","02:00",4261,3.72079536039768,"Monday"
"2.5","02:30",3804,3.73070757957408,"Monday"
"3","03:00",3800,3.73018722749423,"Monday"
"3.5","03:30",3764,3.70377498149519,"Monday"
"4","04:00",3776,3.73310444524756,"Monday"
"4.5","04:30",3777,3.75615602527784,"Monday"
"5","05:00",3837,3.72876712328767,"Monday"
"5.5","05:30",3851,3.71987087517934,"Monday"
"6","06:00",4021,3.70223916150548,"Monday"
"6.5","06:30",4091,3.7435736677116,"Monday"
"7","07:00",4446,3.70527974783294,"Monday"
"7.5","07:30",4488,3.70126874279123,"Monday"
"8","08:00",4839,3.64705882352941,"Monday"
"8.5","08:30",4883,3.72472783825816,"Monday"
"9","09:00",5460,3.68200836820084,"Monday"
"9.5","09:30",5503,3.67304015296367,"Monday"
"10","10:00",6172,3.69520547945205,"Monday"
"10.5","10:30",6352,3.77792378449409,"Monday"
"11","11:00",10012,3.72121212121212,"Monday"
"11.5","11:30",10489,3.75032175032175,"Monday"
"12","12:00",10977,3.72282866635026,"Monday"
"12.5","12:30",10982,3.72602230483271,"Monday"
"13","13:00",11034,3.79323725055432,"Monday"
"13.5","13:30",11027,3.74884029158383,"Monday"
"14","14:00",11155,3.78059558117195,"Monday"
"14.5","14:30",11097,3.80251161190435,"Monday"
"15","15:00",11401,3.81305874840358,"Monday"
"15.5","15:30",11306,3.80217199882595,"Monday"
"16","16:00",11982,3.81572804201926,"Monday"
"16.5","16:30",12054,3.81244903506388,"Monday"
"17","17:00",12596,3.84377961283336,"Monday"
"17.5","17:30",12429,3.82867712718459,"Monday"
"18","18:00",12481,3.8459435954777,"Monday"
"18.5","18:30",12148,3.85278432345281,"Monday"
"19","19:00",12168,3.84926059401019,"Monday"
"19.5","19:30",11743,3.85809500727096,"Monday"
"20","20:00",11714,3.86047097342904,"Monday"
"20.5","20:30",11094,3.84399138913511,"Monday"
"21","21:00",11004,3.87920842970959,"Monday"
"21.5","21:30",9673,3.88284798290142,"Monday"
"22","22:00",9338,3.86838124054463,"Monday"
"22.5","22:30",7565,3.85227427019688,"Monday"
"23","23:00",7481,3.87595241277904,"Monday"
"23.5","23:30",6733,3.83704862469039,"Monday"
"01","00:00",2631,3.82472513423677,"Tuesday"
"0.51","00:30",2147,3.8351412564072,"Tuesday"
"110","01:00",1925,3.83536946981378,"Tuesday"
"1.51","01:30",754,3.80068932731162,"Tuesday"
"24","02:00",731,3.81562974203338,"Tuesday"
"2.51","02:30",212,3.82032716545991,"Tuesday"
"31","03:00",209,3.85029666818804,"Tuesday"
"3.51","03:30",177,3.84516020801879,"Tuesday"
"41","04:00",189,3.81371957352645,"Tuesday"
"4.51","04:30",190,3.84536334719843,"Tuesday"
"51","05:00",267,3.80522412125121,"Tuesday"
"5.51","05:30",287,3.76406752411576,"Tuesday"
"61","06:00",481,3.82674772036474,"Tuesday"
"6.51","06:30",564,3.77663934426229,"Tuesday"
"71","07:00",1169,3.8448275862069,"Tuesday"
"7.51","07:30",1235,3.74092615769712,"Tuesday"
"81","08:00",1789,3.70065789473684,"Tuesday"
"8.51","08:30",1896,3.8234126984127,"Tuesday"
"91","09:00",2882,3.83677685950413,"Tuesday"
"9.51","09:30",2977,3.75738396624473,"Tuesday"
"101","10:00",4006,3.81296296296296,"Tuesday"
"10.51","10:30",4262,3.80085959885387,"Tuesday"
