business_id,stars,NoiseLevel,hipster,HasTV,intimate,upscale,RestaurantsGoodForGroups
k0hlBqXX-Bt0vf1op7Jr1w,3.0,1,0,1,0,0,1
MUTTqe8uqyMdBl186RmNeA,4.0,1,0,0,0,0,1
QdN72BWoyFypdGJhhI5r7g,4.0,1,1,1,0,0,1
lk9IwjZXqUMqqOhM774DtQ,3.5,1,0,0,0,0,1
txyXRytGjwOXvS8s4sc-WA,3.0,0,0,0,0,0,0
seKihQKpGGnCeLuELRQPSQ,3.5,1,0,1,0,0,1
L_TT0BFmFwORAMaA83K54A,2.5,1,0,0,0,0,1
qfWJmJ0g96eM_fWma3ja0g,3.0,1,0,1,0,0,1
8rb-3VYXE37IZix4yOdskw,2.5,1,0,1,0,0,1
aCDY7vXYMs54EbYuQScsnQ,4.5,0,0,1,0,0,0
pJfh3Ct8iL58NZa8ta-a5w,4.5,1,0,1,0,0,1
NZ_bFJma7brQUfln5h1UAg,3.5,1,0,0,0,0,1
YNjyv0gfOr2g8lbmUpTnKg,4.5,1,0,1,0,0,1
LhpPSrulqVeTyJeK2xydvQ,4.5,0,0,1,0,0,0
VrGxoSNZfSiT-G4OqRRGIw,4.0,1,0,1,0,0,1
sB45WFgysT617bKWP_WJwA,4.5,0,0,0,0,0,0
Fk1xpM7fjqEJ4paqk5ZFSg,3.0,0,0,0,0,0,0
Cdytv_YhJO0W0Ab8t2xLtg,3.5,1,0,1,0,0,1
FRYkg_JvsWU9xIXZsEZcVA,3.5,0,0,0,0,0,1
9C2rpb56aQvW0ViZHK9sPw,3.5,1,0,1,0,0,1
SZU9c8V2GuREDN5KgyHFJw,4.0,1,0,0,0,0,0
WYYdQDjx-DsCanlP0DpImQ,4.5,1,0,1,0,0,1
X_E7U2lVNEwbH_gpOBmAHQ,4.0,1,0,1,0,0,1
7Du9oW73YcYFmXdtU5aiSg,3.5,1,0,1,0,0,1
3S9GYtMOYhbZl4MMPOHT0Q,4.5,1,0,0,0,0,1
ZU6NodDOWaabGkeNpOWdXw,4.5,0,0,0,0,0,0
Dtuf4vD0znzwJW9vk3iTNw,4.0,1,0,1,0,0,1
Ucl9Vo5lwrUmYbV8Dv8X5g,4.0,1,0,1,0,0,1
6BF3eaIzHtoNHSxKTFnTyg,3.5,1,0,1,0,0,1
4IcB3QyMEA85UTWFKh9O9A,4.5,1,0,0,0,0,0
Y6heWJJ9AmEL58fZwgi9YQ,4.0,0,0,1,0,0,0
6czqMScx8MRDirv7fxX7pw,4.5,0,0,0,0,0,0
uDQgmudYDKiB6n4vwbEeDg,4.5,0,0,0,0,1,0
v5kwdvmg-J8g-ll0nkc3Sw,4.0,1,0,0,0,0,0
bqmX882_6AxVA_uHEQ70sQ,4.0,1,0,1,0,0,1
Edg22x3CZkIv0GUib2oEFA,3.5,1,0,1,0,0,1
VVvUBlc_WIEb8obKGq39dA,4.5,0,0,1,0,0,0
dJfkfBbJz7wi0RgW-ph_Eg,3.0,1,0,1,1,0,1
VbItL6RDULtnw4YvB6EhVg,3.0,1,0,0,0,0,1
JF7iyI3wA_AKi_iXOKi0Qw,3.5,1,0,1,0,0,1
rZw9O5lJ36m_mXeRKE4G9A,4.5,1,0,0,0,0,1
-7GDqSUaXrpC8Ql7nDBxWA,4.0,1,0,1,0,0,1
1E9o1SNo7UTf1XHTFPv1_Q,4.5,1,1,0,0,0,1
0CEUpFtaKhxbmrbSdP9MUQ,4.0,0,0,1,0,0,1
f82dhKNiUXsDVPMLqKYiIQ,4.0,1,0,0,0,0,1
xJyp6RLqNRv3tSu6njPKxQ,3.0,1,0,1,0,0,1
PCM-vL-vRLJ4HB2OE8Nnbg,2.5,1,0,1,0,0,1
vFJIK-z3QWs-3XNjs1hcZQ,4.0,1,0,0,0,1,1
j9Kaj_6tSeXmVMYCgZithg,4.5,1,0,1,0,0,1
4xhGQGdGqU60BIznBjqnuA,4.0,0,0,1,0,0,0
Wt1W6qwCvna1KzIuJRJbwA,4.0,1,0,1,0,0,1
eJ77e9lGxY3ArzaoDbHhYw,2.5,1,0,1,0,0,1
7mpYTDb24SywNMRn3yeakQ,4.0,1,0,1,0,0,1
_WRe3ql2DI_h3htr77Siew,5.0,0,0,0,0,0,0
YZuoaOzD49ffP10PNf72nA,2.0,1,0,1,0,0,1
rR30b1XWbxZFFgLyGbfNAw,4.5,1,0,0,0,0,1
0Ze7pcwjyauf6steWfpV7g,3.5,0,0,1,0,0,1
46_2e1hnQ4csLrYnhn6bkw,4.0,1,0,1,0,0,1
dIpTuL2T1L98GQGU17IeSw,4.0,1,1,1,0,0,1
1tLrjXG-I9hkOoZxlbwDqw,4.0,0,0,1,0,0,0
pNu5bd9aL3jcJClfdQ86MQ,3.5,1,0,1,0,0,1
1EokZOnCDkjv2VtPtplyHw,4.0,1,0,1,0,0,1
SFKjUQ1gmfwm7cJhMCFmkA,4.0,1,0,1,0,0,1
ejEVU5o5F56e7XIO07xpcA,4.0,1,0,1,1,0,0
diwwt5QBU3-Thig9SVlsOA,3.5,1,0,1,0,0,1
MObScX791gFEwtkoFA9GQg,3.5,1,0,1,0,0,1
TJe1ZGe-X0-GjOQd00kKxA,4.0,0,0,1,0,0,1
SBgr-5n-kV3EeZztYsstUQ,4.5,0,0,1,0,0,0
qma1sGQv7ArUtzuUTQElRg,4.0,2,0,1,0,0,1
zjQDk4tZyhEroyqtkgvx0g,3.5,1,0,1,0,0,1
EEc3X2r94uNhCz_jOTSzHg,4.5,1,0,0,0,0,1
kfGz2E7Y5FLXJyiKbQYfZg,3.5,1,0,1,0,0,1
H3JjbID9Zhukpqr9uupHAA,3.0,1,0,1,0,0,1
jsQQu9rVerR3OGxIa0hRQQ,3.0,1,0,1,0,0,1
UX3eq0WsVva-cqlVrzyzFg,3.0,1,0,1,0,0,1
1o_M5JdOkJJFNj1rIDIlng,4.0,0,0,0,0,0,0
q9dLguaNI58Rs5GJuJAWIg,4.5,0,0,1,0,0,0
PdMXmOWDRHICAx6SLgu1dQ,3.5,1,0,1,0,0,1
71U7MxQEhwitJOm4CQpRwQ,4.0,1,0,0,0,0,1
sWCCxY1-9B1FGlSVeQvnHg,4.0,1,0,1,0,0,1
Gki1ureeRKqlIkQ-AELDVg,3.5,1,0,1,0,0,1
4FaYG9qKDpDyr68bKmaIEw,4.0,1,0,0,1,0,1
yUcMPv-B9gCUUNT-GUiJbw,5.0,0,0,0,0,0,0
MYoRNLb5chwjQe3c_k37Gg,3.5,0,0,1,0,0,1
pP4q0Mym-qt20nRqTKbzhQ,3.5,1,0,1,0,1,1
c6xOzTbNqD-1g9PoxAh4DQ,3.0,1,0,0,1,0,1
VS4iEul7Rp4jJGcNcKu4FA,3.0,0,0,0,0,0,1
Iuir7lUtx-LMhYtStwyf3Q,4.0,1,0,1,0,0,1
I2CxrvM0BGH1svfxqGGD2g,3.5,1,0,1,0,0,1
-ujBP1Dw0j1-Ffaz97-LXQ,4.0,1,0,1,0,0,1
QpPc51mH86xyrRmnFijpTQ,4.5,0,0,0,0,0,0
W4ZEKkva9HpAdZG88juwyQ,4.0,1,0,1,0,0,1
3swM60bulnut1d4AZti80Q,3.5,1,0,1,0,0,1
4fUok5d5vgdQEb1Bzzg0rA,3.5,1,0,1,0,0,1
bdth7r1brx9yRU7sYwF9jQ,4.0,1,0,1,0,0,1
nX7aULcuP15c6ntE1ml7Wg,3.5,1,0,1,0,0,1
SSZDGl2J-CEyIzuIbEiYNQ,3.0,1,0,1,0,0,1
_Oksx3ALgKLRVxeAR8l_qA,5.0,0,0,1,0,0,1
LKGlZW0mmuoXvKB04FSP-A,3.5,0,0,0,0,0,0
dUctvEfHQccW_uxtRup2QQ,3.0,1,0,1,0,0,1
ByTZJsTDDhvOYKCj7uoy4w,3.0,1,0,0,0,0,1
qWZimITbVwNSGJZsuM47-Q,3.5,1,0,1,0,0,1
o05ngJ6BY1rztemFazViBw,5.0,1,0,1,0,0,1
FBf4fTg9BZrDYxCWTUfdFQ,3.0,0,0,0,0,0,0
U48gI6zzlDkvUDS9bsdvUg,3.0,1,0,1,0,0,1
BxR5hjyBnJZrm_nnaCtGQw,4.5,0,1,0,0,0,0
NQSnr4RPUScss607oxOaqw,4.5,1,0,1,0,0,1
Ea2hPSFazxXITET4f6ZJhw,3.0,1,0,1,0,0,1
C3roKH0ekXBz8l0ZoUIvAA,4.0,0,0,0,0,0,0
_HcAoG6Jj_XTj4-XNEbo6Q,3.0,1,0,1,0,0,1
I4TFiNX5gTsJBnEGH2Tl8Q,3.5,2,1,0,0,0,0
lj-E32x9_FA7GmUrBGBEWg,3.5,1,0,1,0,0,1
5wgoIQXyP3BEPZLiVi1W8A,3.5,1,0,1,0,0,1
G9JqaURDTC_pSzji0bytwA,3.5,1,0,1,0,0,1
xPSetcLWfl_3JoENfGf89w,4.0,0,1,1,0,0,1
fT4jl8pcXCxKBrM85XjXSg,4.5,0,0,1,0,0,1
uE3yzH2l1A_FYciu95EptA,4.0,1,0,1,0,0,1
A_-Vv5oKZNqxsV69_7E2KQ,3.5,1,0,1,0,0,1
e7PUSXlcOfel8c7sPIA28w,2.0,2,0,1,0,0,1
b6mtezJs5KNZNvgHU-sR8Q,4.5,1,0,1,0,0,1
AaWmckcT3O1iQSAIUmzwUA,4.0,1,1,0,0,0,0
vQ3bOb_sq0peWxJx3VoCDw,4.0,1,0,1,0,0,1
Up2hJViJJf61k9V3jFbvzg,2.5,1,0,1,0,0,1
ryHhnOItSVPJB81Ty0Xb2g,4.0,1,0,1,0,0,1
SdZvOwgALlSBt8A0DvVkuQ,4.0,1,0,1,0,0,1
jcmqREAt1nOg3ABv4ZeD3w,4.5,0,0,0,0,0,0
xb-qtXVZ7xFr51Se5fAZjg,3.0,0,0,0,0,0,0
sway6xsRT_CUC6peK_Pyww,3.5,0,0,0,0,0,0
IazLGcO9aggJnMMa_5UO1Q,5.0,0,0,0,0,0,0
uxoQdZD3mEptaPohiLQg1w,4.5,0,0,1,0,0,0
E9-k8aOCS2sSh9RYxvWU_A,3.0,1,0,1,0,0,1
Xjal8g4PsYinAfeQ8RWf4Q,4.5,1,0,0,0,0,1
UVpki6wyHLR0mujHcneTfg,4.0,0,0,1,0,0,0
v8IbZ6wcvdyGqWpbDKDvfA,4.0,1,0,0,0,0,1
U30ggGzFpXvc2NZYwOW3qg,4.5,1,0,1,0,0,1
bCIZeggW02uPdz2lobSjUA,4.5,1,1,1,0,0,1
0t14RIHl4wODz7LRiRRQ0Q,4.5,0,0,0,0,0,0
YGxpTJ3fcU96uSoL2kHRAA,4.0,1,0,1,0,0,1
UADDyUMFvV-KjFBNav7tIw,3.5,1,0,1,0,0,1
68ThEdiK0eWCEgGEmV9Tng,4.0,1,0,1,0,0,1
i9eMSNpOA8BfHGZrM-9sZg,4.5,0,0,0,0,0,0
h2nBTqJVHAyltyeq7sZZ-w,4.0,1,0,1,0,0,1
nFjk0xVI9fNiVN__5g-m8Q,4.0,1,0,0,1,0,1
Hn5wSB6hKqKs-_fzAIocJA,4.0,1,0,1,1,0,1
w8C_pRQvdIXQ5VRWlW2M3w,4.5,0,0,0,0,0,0
_cndcbuaqSRW5f-MeZasNw,3.0,1,0,1,0,0,1
tXf6TpqHOLiwyMNbYAOOCQ,4.5,1,1,1,0,0,1
WQ832PDnsDshhbQFm83ISg,3.0,1,0,1,0,0,1
5PDNXMquh1C9E089G1RY2g,3.5,0,0,1,0,0,1
TTsBa6e2qgIEkiFQfYLmYA,3.5,1,0,1,0,0,1
zzHtFjfM7NvuVM1HTsCLGA,4.5,0,0,0,1,0,0
HJe8eEH5qXRjQMAh1VfV_w,4.5,0,0,0,0,0,1
lhsQkb5nhf-Kd5OvgB9MNg,3.5,1,0,1,0,0,1
plobBsTtVUODb353xxFT_g,3.5,1,0,1,0,0,1
ARgidflSXPHj7uhK-Y7hwA,4.0,1,0,1,0,0,1
rD5cJ74ZX4UiBo1geRljPw,4.5,1,0,1,0,0,1
368cyArdo0P0aDUOhhE4PA,4.5,1,0,0,0,0,0
